Identificateur,Description,Durée,Précédente(s),S0,S1,S2
PC,Permis de construire ,60,OG
F,Fondations,7,PC
GE1,Passage des gaines et évacuations ,3,F
DRC,Dalle rez de chaussée,7,GE1
MP,Murs porteurs ,14,DRC
DP,Dalles plafond ,7,MP
GE2,Passage gaines et évacuation,3,DP
T,Toiture,14,GE2
FE,Fenêtres,7,T
PE,Portes extèrieures,3,T C
IE,Installation électrique et évacuation,3,GE2
C,Chape,7,DP
C1,Carrelage du sol,7,C
P,Parquets,7,C
CM,Cloisons et menuiserie intérieure,10,FE C1 P FC
FC,Finition des cloisons,7,CM
IC,Implantation de la cuisine ,7,FC
IW,Implantation des wc,3,FC
IS,Implantation des salles de bain,7,FC
PP,Peinture des plafonds ,7,IC IW IS
PM,Peinture des murs,7,PP
S,Serrurerie,3,P CM
R1,Revêtement des sols (moquettes) ,2,C S
R,Réception de la maison ,0.5,MP S
